Date,Open,High,Low,Close,Adj Close,Volume
2023-02-06,9.050000,9.250000,9.000000,9.050000,9.050000,45864843
2023-02-07,9.050000,9.150000,8.900000,8.950000,8.950000,35950091
2023-02-08,9.050000,9.250000,8.950000,9.000000,9.000000,47849321
2023-02-09,9.000000,9.350000,8.950000,9.200000,9.200000,72874809
2023-02-10,9.300000,9.650000,9.050000,9.150000,9.150000,71596394
2023-02-13,9.200000,9.250000,8.950000,9.050000,9.050000,45209836
2023-02-14,9.050000,9.150000,8.750000,8.800000,8.800000,38860144
2023-02-15,8.850000,9.050000,8.800000,9.000000,9.000000,40241204
2023-02-16,9.050000,9.050000,8.850000,8.900000,8.900000,35573041
2023-02-17,8.900000,9.150000,8.850000,8.900000,8.900000,61270881
2023-02-20,8.900000,9.100000,8.450000,8.550000,8.550000,118491096
2023-02-21,8.600000,8.650000,8.350000,8.400000,8.400000,39042076
2023-02-22,8.400000,8.500000,8.200000,8.300000,8.300000,41332864
2023-02-23,8.300000,8.350000,8.050000,8.150000,8.150000,57513590
2023-02-24,8.200000,8.550000,8.150000,8.400000,8.400000,57101906
2023-02-27,8.400000,8.400000,8.050000,8.100000,8.100000,47631704
2023-02-28,8.150000,8.300000,8.050000,8.200000,8.200000,33919586
2023-03-01,8.250000,8.600000,8.200000,8.400000,8.400000,55018196
2023-03-02,8.400000,8.450000,8.200000,8.250000,8.250000,45131745
2023-03-03,8.300000,8.750000,8.300000,8.500000,8.500000,96295154
2023-03-06,8.550000,8.900000,8.500000,8.600000,8.600000,75423846
2023-03-08,8.550000,8.700000,8.450000,8.600000,8.600000,39328106
2023-03-09,8.700000,8.950000,8.650000,8.700000,8.700000,74757405
2023-03-10,8.600000,8.650000,8.350000,8.400000,8.400000,51783687
2023-03-13,8.400000,8.500000,8.000000,8.100000,8.100000,50754201
2023-03-14,8.150000,8.200000,7.700000,7.950000,7.950000,52110143
2023-03-15,7.800000,8.150000,7.750000,7.950000,7.950000,59556915
2023-03-16,8.000000,8.000000,7.700000,7.900000,7.900000,56722948
2023-03-17,7.950000,8.150000,7.900000,8.000000,8.000000,40883551
2023-03-20,8.000000,8.000000,7.700000,7.750000,7.750000,42986085
2023-03-21,7.850000,7.900000,7.750000,7.800000,7.800000,27594112
2023-03-22,7.850000,7.950000,7.800000,7.800000,7.800000,22956081
2023-03-23,7.800000,7.900000,7.700000,7.750000,7.750000,23864906
2023-03-24,7.750000,7.800000,7.500000,7.550000,7.550000,36581412
2023-03-27,7.600000,7.600000,7.150000,7.200000,7.200000,46753705
2023-03-28,7.250000,7.350000,6.950000,7.050000,7.050000,55049453
2023-03-29,7.100000,8.100000,7.050000,7.950000,7.950000,131787323
2023-03-31,8.050000,8.250000,7.850000,7.900000,7.900000,61243637
2023-04-03,7.900000,8.200000,7.900000,8.100000,8.100000,38896680
2023-04-05,8.150000,8.300000,8.000000,8.100000,8.100000,34055807
2023-04-06,8.150000,8.300000,8.050000,8.150000,8.150000,32437850
2023-04-10,8.200000,8.200000,8.000000,8.050000,8.050000,22032132
2023-04-11,8.100000,8.350000,8.000000,8.150000,8.150000,44136206
2023-04-12,8.150000,8.250000,8.050000,8.100000,8.100000,37352480
2023-04-13,8.150000,8.250000,8.000000,8.050000,8.050000,49318062
2023-04-17,8.000000,8.200000,7.950000,8.150000,8.150000,45874702
2023-04-18,8.150000,8.200000,8.000000,8.050000,8.050000,39250925
2023-04-19,8.000000,8.150000,7.950000,8.000000,8.000000,36980183
2023-04-20,8.050000,8.100000,7.950000,7.950000,7.950000,18933562
2023-04-21,8.000000,8.050000,7.950000,7.950000,7.950000,12324483
2023-04-24,8.000000,8.100000,7.900000,7.950000,7.950000,31696681
2023-04-25,7.950000,8.300000,7.900000,8.150000,8.150000,82252903
2023-04-26,8.250000,8.750000,8.100000,8.200000,8.200000,140422847
2023-04-27,8.200000,8.250000,8.100000,8.200000,8.200000,45358977
2023-04-28,8.250000,8.450000,8.150000,8.300000,8.300000,57266827
2023-05-02,8.350000,8.400000,7.900000,8.100000,8.100000,91311768
2023-05-03,8.100000,8.300000,8.000000,8.100000,8.100000,58132884
2023-05-04,8.200000,8.700000,8.200000,8.600000,8.600000,197115631
2023-05-05,8.650000,8.900000,8.500000,8.650000,8.650000,122285005
2023-05-08,8.700000,8.800000,8.450000,8.550000,8.550000,70124868
2023-05-09,8.600000,8.800000,8.300000,8.400000,8.400000,83194488
2023-05-10,8.400000,8.450000,8.200000,8.350000,8.350000,45546501
2023-05-11,8.400000,8.500000,8.300000,8.350000,8.350000,35885308
2023-05-12,8.400000,8.400000,8.200000,8.250000,8.250000,32986632
2023-05-15,8.250000,8.350000,8.200000,8.250000,8.250000,51475490
2023-05-16,8.250000,8.350000,8.200000,8.200000,8.200000,25372907
2023-05-17,8.250000,8.800000,8.200000,8.650000,8.650000,137647805
2023-05-18,8.850000,9.000000,8.400000,8.500000,8.500000,133866221
2023-05-19,8.600000,8.650000,8.350000,8.500000,8.500000,58371953
2023-05-22,8.600000,9.600000,8.500000,9.250000,9.250000,317257961
2023-05-23,9.450000,9.650000,9.150000,9.450000,9.450000,161014013
2023-05-24,9.550000,10.200000,9.550000,10.050000,10.050000,277827881
2023-05-25,10.200000,10.300000,9.700000,9.800000,9.800000,165323748
2023-05-26,9.800000,10.150000,9.450000,10.000000,10.000000,149372185
2023-05-29,10.150000,10.450000,10.100000,10.350000,10.350000,179747106
2023-05-30,10.350000,10.750000,10.200000,10.650000,10.650000,294083000
2023-05-31,10.900000,11.850000,10.650000,11.750000,11.750000,751320632
2023-06-01,11.850000,12.000000,11.050000,11.150000,11.150000,316019955
2023-06-02,11.250000,11.400000,10.850000,11.000000,11.000000,258642228
2023-06-05,11.100000,11.500000,11.000000,11.400000,11.400000,272291792
2023-06-06,11.550000,12.400000,11.350000,12.200000,12.200000,533178450
2023-06-07,12.550000,14.600000,12.500000,14.450000,14.450000,346243409
2023-06-08,14.200000,14.200000,13.200000,13.350000,13.350000,522427881
2023-06-09,13.500000,14.200000,13.300000,14.000000,14.000000,293778902
2023-06-12,14.150000,15.400000,14.100000,15.300000,15.300000,461323199
2023-06-13,15.400000,15.750000,14.750000,15.100000,15.100000,390548184
2023-06-14,15.250000,15.350000,14.150000,14.400000,14.400000,222177502
2023-06-15,14.400000,14.600000,14.000000,14.450000,14.450000,178864927
2023-06-16,14.550000,15.150000,14.550000,14.750000,14.750000,282491085
2023-06-19,14.950000,15.050000,14.250000,14.550000,14.550000,163607569
2023-06-20,14.650000,14.700000,13.650000,14.250000,14.250000,196840707
2023-06-21,14.300000,14.550000,13.850000,14.000000,14.000000,134315767
2023-06-22,14.050000,14.100000,13.300000,13.600000,13.600000,150787608
2023-06-23,13.600000,14.150000,13.250000,13.850000,13.850000,133077725
2023-06-26,13.950000,14.250000,13.650000,14.000000,14.000000,93075149
2023-06-27,14.050000,14.400000,14.000000,14.100000,14.100000,81222094
2023-06-28,14.100000,14.100000,14.100000,14.100000,14.100000,0
2023-06-30,15.050000,15.650000,14.950000,15.300000,15.300000,260744421
2023-07-03,15.750000,16.799999,15.750000,16.799999,16.799999,389920926
2023-07-04,17.450001,18.450001,17.150000,18.299999,18.299999,701973517
2023-07-05,17.950001,18.150000,17.400000,17.400000,17.400000,264737406
2023-07-06,16.799999,17.950001,16.650000,17.650000,17.650000,415023310
2023-07-07,17.549999,18.299999,17.450001,17.850000,17.850000,267551084
2023-07-10,18.049999,18.100000,17.200001,17.350000,17.350000,142507601
2023-07-11,17.500000,18.200001,17.049999,17.950001,17.950001,369539889
2023-07-12,18.000000,18.549999,17.600000,18.000000,18.000000,201949606
2023-07-13,18.150000,18.350000,17.450001,17.549999,17.549999,149133001
2023-07-14,17.650000,17.900000,17.299999,17.700001,17.700001,81517693
2023-07-17,18.250000,18.450001,18.100000,18.200001,18.200001,129569292
2023-07-18,18.299999,18.299999,17.799999,17.900000,17.900000,89012544
2023-07-19,18.000000,18.100000,17.799999,17.850000,17.850000,48709437
2023-07-20,17.950001,18.700001,17.850000,18.700001,18.700001,242575898
2023-07-21,19.250000,19.600000,19.100000,19.600000,19.600000,86292023
2023-07-24,20.549999,20.549999,19.200001,20.000000,20.000000,517944819
2023-07-25,20.250000,20.799999,19.000000,19.000000,19.000000,276540698
2023-07-26,18.049999,18.049999,18.049999,18.049999,18.049999,41086178
2023-07-27,17.650000,18.400000,17.450001,17.850000,17.850000,250669150
2023-07-28,17.799999,18.250000,17.700001,18.049999,18.049999,97658422
2023-07-31,18.200001,18.950001,18.049999,18.950001,18.950001,123353716
2023-08-01,19.549999,19.850000,19.100000,19.299999,19.299999,167771796
2023-08-02,19.350000,19.350000,18.350000,18.500000,18.500000,229699866
2023-08-03,18.450001,18.450001,17.700001,17.950001,17.950001,122802683
2023-08-04,18.000000,18.799999,18.000000,18.400000,18.400000,241151653
2023-08-07,18.600000,19.000000,18.250000,18.650000,18.650000,119709706
2023-08-08,18.650000,18.950001,18.350000,18.600000,18.600000,107177129
2023-08-09,18.950001,19.500000,18.900000,19.500000,19.500000,204669757
2023-08-10,19.950001,20.450001,19.900000,20.450001,20.450001,198521194
2023-08-11,20.750000,21.250000,19.799999,20.200001,20.200001,193133275
2023-08-14,19.549999,20.200001,19.299999,20.049999,20.049999,110526997
2023-08-16,20.049999,20.500000,20.049999,20.250000,20.250000,66006572
2023-08-17,19.850000,20.000000,19.400000,19.700001,19.700001,130822363
2023-08-18,19.799999,20.049999,19.500000,19.799999,19.799999,70016385
2023-08-21,20.100000,20.150000,19.799999,19.900000,19.900000,71793107
2023-08-22,19.950001,20.850000,19.950001,20.850000,20.850000,189624524
2023-08-23,21.000000,21.850000,21.000000,21.850000,21.850000,204874807
2023-08-24,22.750000,22.850000,21.250000,21.500000,21.500000,269657749
2023-08-25,21.650000,22.549999,21.549999,22.400000,22.400000,166449370
2023-08-28,23.400000,23.500000,23.250000,23.500000,23.500000,192627964
2023-08-29,24.000000,24.650000,23.950001,24.650000,24.650000,203593052
2023-08-30,25.850000,25.850000,25.350000,25.850000,25.850000,88452282
2023-08-31,26.500000,27.049999,24.549999,24.549999,24.549999,413958502
2023-09-01,24.549999,25.750000,23.950001,25.000000,25.000000,209113483
2023-09-04,25.450001,25.700001,23.850000,24.100000,24.100000,189499859
2023-09-05,24.600000,24.900000,23.500000,23.600000,23.600000,131411045
2023-09-06,23.799999,24.400000,23.400000,23.799999,23.799999,107987698
2023-09-07,24.100000,24.950001,23.549999,24.100000,24.100000,170673034
2023-09-08,24.200001,24.299999,23.650000,24.049999,24.049999,87741294
2023-09-11,24.299999,24.400000,23.750000,24.000000,24.000000,93344063
2023-09-12,24.150000,24.200001,22.799999,22.799999,22.799999,146034046
2023-09-13,22.200001,22.500000,21.700001,22.150000,22.150000,236321372
2023-09-14,22.350000,23.250000,21.750000,23.250000,23.250000,178268509
2023-09-15,23.600000,24.400000,23.150000,24.200001,24.200001,225766744
2023-09-18,24.700001,25.100000,24.500000,24.750000,24.750000,142270040
2023-09-20,24.950001,25.950001,24.500000,25.850000,25.850000,166418138
2023-09-21,25.850000,26.250000,25.150000,25.500000,25.500000,166438893
2023-09-22,25.650000,25.850000,24.500000,25.049999,25.049999,95275738
2023-09-25,25.750000,26.049999,25.100000,25.500000,25.500000,71458712
2023-09-26,25.600000,26.100000,24.950001,26.000000,26.000000,110565689
2023-09-27,25.100000,25.900000,25.049999,25.650000,25.650000,94771055
2023-09-28,25.700001,26.400000,25.450001,25.650000,25.650000,75375280
2023-09-29,25.850000,26.200001,25.549999,25.799999,25.799999,76660245
2023-10-03,25.950001,27.049999,25.750000,26.950001,26.950001,215807142
2023-10-04,27.350000,28.250000,27.100000,28.100000,28.100000,346015638
2023-10-05,28.600000,29.500000,28.549999,29.500000,29.500000,285672016
2023-10-06,28.850000,29.799999,28.400000,29.100000,29.100000,273969163
2023-10-09,28.200001,28.350000,27.650000,27.650000,27.650000,151080200
2023-10-10,26.500000,27.400000,26.299999,26.350000,26.350000,80186599
2023-10-11,26.500000,27.650000,26.450001,27.650000,27.650000,45365872
2023-10-12,28.250000,28.600000,27.049999,27.150000,27.150000,70399620
2023-10-13,27.200001,27.450001,26.600000,26.799999,26.799999,39585232
2023-10-16,27.600000,28.100000,27.049999,28.100000,28.100000,73809145
2023-10-17,28.900000,29.500000,28.650000,29.500000,29.500000,111721555
2023-10-18,30.250000,30.950001,29.799999,30.950001,30.950001,131127521
2023-10-19,31.000000,32.099998,30.000000,31.600000,31.600000,135200931
2023-10-20,31.450001,33.150002,31.000000,32.500000,32.500000,373269936
2023-10-23,33.250000,34.099998,31.400000,31.799999,31.799999,130338329
2023-10-25,32.099998,33.099998,30.299999,31.900000,31.900000,98053560
2023-10-26,31.250000,31.950001,30.299999,31.400000,31.400000,99436973
2023-10-27,32.000000,32.900002,31.950001,32.099998,32.099998,80529369
2023-10-30,32.700001,32.799999,31.250000,31.549999,31.549999,42405596
2023-10-31,32.000000,32.000000,30.000000,30.600000,30.600000,49276497
2023-11-01,30.700001,31.600000,30.600000,31.299999,31.299999,39955174
2023-11-02,31.900000,32.849998,31.350000,32.650002,32.650002,52429624
2023-11-03,33.200001,34.250000,33.000000,34.250000,34.250000,76623253
2023-11-06,35.950001,35.950001,35.950001,35.950001,35.950001,15536896
2023-11-07,37.000000,37.400002,35.000000,37.349998,37.349998,145813507
2023-11-08,37.799999,39.200001,36.799999,37.400002,37.400002,113882054
2023-11-09,38.000000,38.450001,37.000000,37.299999,37.299999,49396345
2023-11-10,37.500000,38.250000,37.099998,37.900002,37.900002,45379797
2023-11-13,38.599998,39.250000,37.799999,38.650002,38.650002,45335763
2023-11-15,39.950001,40.549999,39.549999,40.500000,40.500000,143082003
2023-11-16,40.500000,42.500000,40.500000,42.099998,42.099998,115717878
2023-11-17,42.900002,44.000000,40.299999,42.299999,42.299999,161956692
2023-11-20,42.500000,43.000000,40.200001,41.349998,41.349998,130271353
2023-11-21,41.500000,41.500000,39.299999,39.299999,39.299999,111694707
2023-11-22,37.750000,38.500000,37.349998,37.349998,37.349998,42657149
2023-11-23,35.500000,39.200001,35.500000,39.200001,39.200001,102656993
2023-11-24,40.000000,41.150002,39.450001,40.599998,40.599998,117045798
2023-11-28,41.349998,41.700001,38.700001,38.950001,38.950001,116147704
2023-11-29,39.450001,40.299999,37.599998,39.599998,39.599998,98361673
2023-11-30,40.349998,41.000000,38.099998,40.750000,40.750000,811525884
2023-12-01,40.000000,40.400002,39.000000,39.400002,39.400002,63576805
2023-12-04,41.000000,41.000000,39.700001,40.099998,40.099998,40525430
2023-12-05,40.500000,40.500000,38.849998,39.650002,39.650002,52174216
2023-12-06,39.500000,39.500000,38.400002,38.950001,38.950001,49075379
2023-12-07,38.950001,40.000000,38.000000,39.049999,39.049999,51193825
2023-12-08,39.599998,39.599998,38.000000,38.750000,38.750000,35448583
2023-12-11,38.849998,39.500000,38.000000,39.200001,39.200001,59585051
2023-12-12,39.500000,39.500000,38.400002,38.500000,38.500000,33308747
2023-12-13,38.599998,38.750000,37.500000,38.200001,38.200001,38010747
2023-12-14,38.200001,38.599998,37.099998,37.349998,37.349998,58576341
2023-12-15,37.299999,39.200001,36.000000,38.549999,38.549999,135917707
2023-12-18,38.750000,38.750000,37.500000,37.849998,37.849998,34128022
